"Date","Price","Open","High","Low","Vol.","Change %"
"28-06-2024","24,139.50","24,206.50","24,274.00","24,076.50","45.93K","0.40%"
"27-06-2024","24,044.50","23,799.00","24,057.50","23,785.00","44.42K","0.77%"
"26-06-2024","23,861.50","23,698.00","23,902.50","23,670.50","66.15K","0.59%"
"25-06-2024","23,720.50","23,571.50","23,750.00","23,564.00","102.29K","0.78%"
"24-06-2024","23,536.50","23,477.50","23,643.00","23,339.00","112.37K","0.30%"
"21-06-2024","23,467.00","23,602.00","23,642.00","23,426.50","66.81K","-0.53%"
"20-06-2024","23,593.00","23,520.00","23,647.00","23,451.50","40.72K","0.33%"
"19-06-2024","23,514.50","23,653.00","23,683.00","23,447.00","48.62K","-0.32%"
"18-06-2024","23,590.50","23,601.50","23,685.50","23,550.00","41.52K","0.17%"
"17-06-2024","23,551.00","23,548.50","23,620.00","23,525.00","13.64K","0.43%"
"14-06-2024","23,450.50","23,391.50","23,501.00","23,364.00","38.15K","0.15%"
"13-06-2024","23,415.00","23,439.00","23,477.50","23,343.50","33.32K","0.20%"
"12-06-2024","23,369.00","23,317.50","23,519.00","23,284.50","39.16K","0.09%"
"11-06-2024","23,349.00","23,284.00","23,458.50","23,221.50","45.58K","0.50%"
"10-06-2024","23,232.50","23,225.50","23,415.00","23,225.50","48.94K","-0.42%"
"07-06-2024","23,330.00","22,902.50","23,354.00","22,862.00","57.70K","1.80%"
"06-06-2024","22,918.00","22,724.50","22,983.00","22,663.00","73.99K","1.85%"
"05-06-2024","22,502.00","22,079.00","22,747.00","21,829.50","111.66K","2.53%"
"04-06-2024","21,947.00","23,559.00","23,587.50","21,244.50","167.89K","-6.48%"
"03-06-2024","23,467.00","23,159.00","23,548.50","23,159.00","112.85K","3.43%"
"31-05-2024","22,688.00","22,658.00","22,787.00","22,598.50","68.99K","0.89%"
"30-05-2024","22,488.65","22,670.00","22,697.00","22,414.00","40.07K","-1.02%"
"29-05-2024","22,720.00","22,879.00","22,879.00","22,692.00","68.05K","-0.86%"
"28-05-2024","22,917.00","23,030.00","23,049.00","22,840.00","89.90K","-0.50%"
"27-05-2024","23,032.00","23,000.50","23,185.50","22,935.00","82.80K","-0.03%"
"24-05-2024","23,039.50","22,959.50","23,120.00","22,931.50","80.27K","0.04%"
"23-05-2024","23,029.50","22,640.00","23,096.50","22,625.50","79.49K","1.48%"
"22-05-2024","22,694.00","22,616.50","22,698.50","22,563.50","42.48K","0.34%"
"21-05-2024","22,618.00","22,610.50","22,693.00","22,512.00","44.60K","-0.13%"
"20-05-2024","22,648.00","22,571.50","22,659.50","22,540.50","12.40K","0.63%"
"17-05-2024","22,505.50","22,469.50","22,577.00","22,412.00","43.49K","0.15%"
"16-05-2024","22,471.00","22,380.00","22,499.00","22,160.50","68.41K","0.95%"
"15-05-2024","22,259.50","22,424.50","22,424.50","22,205.50","43.77K","-0.25%"
"14-05-2024","22,314.50","22,241.00","22,380.00","22,151.00","44.85K","0.67%"
"13-05-2024","22,166.50","22,093.00","22,259.50","21,885.00","57.85K","0.17%"
"10-05-2024","22,129.00","22,153.50","22,227.00","22,047.00","48.72K","0.18%"
