Date,Open,High,Low,Close,Adj Close,Volume,highest_sentiment
2017-10-20,1279.5999755859375,1279.5999755859375,1277.4000244140625,1277.4000244140625,1277.4000244140625,304,0
2017-10-23,1274.699951171875,1280.800048828125,1271.5,1277.699951171875,1277.699951171875,115,0
2017-10-24,1275.5,1275.5,1273.699951171875,1275.0,1275.0,111,0
2017-10-25,1269.9000244140625,1275.4000244140625,1269.9000244140625,1275.4000244140625,1275.4000244140625,105,0
2017-10-26,1273.5,1273.5,1264.699951171875,1266.300048828125,1266.300048828125,39,0
2017-10-27,1268.4000244140625,1268.5,1267.0999755859375,1268.5,1268.5,567,0
2017-10-30,1270.0,1274.0999755859375,1267.9000244140625,1274.0999755859375,1274.0999755859375,222,-1
2017-10-31,1273.0999755859375,1274.5999755859375,1266.0999755859375,1267.0,1267.0,235,0
2017-11-01,1272.199951171875,1274.800048828125,1270.300048828125,1274.0999755859375,1274.0999755859375,78,-1
2017-11-02,1274.9000244140625,1274.9000244140625,1274.9000244140625,1274.9000244140625,1274.9000244140625,70,-1
2017-11-03,1265.300048828125,1267.9000244140625,1265.300048828125,1266.5,1266.5,75,0
2017-11-06,1269.0,1280.5,1269.0,1279.4000244140625,1279.4000244140625,128,-1
2017-11-07,1276.800048828125,1276.800048828125,1270.4000244140625,1273.699951171875,1273.699951171875,11,0
2017-11-08,1275.9000244140625,1284.9000244140625,1274.699951171875,1281.5999755859375,1281.5999755859375,15,-1
2017-11-09,1279.699951171875,1286.9000244140625,1279.699951171875,1285.5999755859375,1285.5999755859375,18,0
2017-11-10,1283.5,1283.5,1272.4000244140625,1272.4000244140625,1272.4000244140625,10,0
2017-11-13,1277.300048828125,1277.300048828125,1277.0,1277.300048828125,1277.300048828125,3,-1
2017-11-14,1276.9000244140625,1281.5,1276.9000244140625,1281.5,1281.5,4,0
2017-11-15,1281.4000244140625,1284.699951171875,1275.9000244140625,1276.5,1276.5,13,0
2017-11-16,1277.5,1277.5,1277.4000244140625,1277.4000244140625,1277.4000244140625,43,-1
2017-11-17,1288.300048828125,1295.800048828125,1288.300048828125,1295.800048828125,1295.800048828125,1,-1
2017-11-20,1274.5999755859375,1275.9000244140625,1274.5999755859375,1274.5999755859375,1274.5999755859375,1,0
2017-11-21,1281.0999755859375,1281.0999755859375,1281.0999755859375,1281.0999755859375,1281.0999755859375,4,-1
2017-11-22,1284.699951171875,1291.5999755859375,1282.9000244140625,1291.5999755859375,1291.5999755859375,4,-1
2017-11-24,1286.699951171875,1286.699951171875,1286.699951171875,1286.699951171875,1286.699951171875,0,0
2017-11-27,1293.800048828125,1293.800048828125,1293.800048828125,1293.800048828125,1293.800048828125,1,-1
2017-11-28,1294.699951171875,1294.699951171875,1294.699951171875,1294.699951171875,1294.699951171875,275442,-1
2017-11-29,1293.4000244140625,1296.199951171875,1281.0999755859375,1282.0999755859375,1282.0999755859375,47244,0
2017-11-30,1283.0999755859375,1284.5,1269.699951171875,1273.199951171875,1273.199951171875,3049,0
2017-12-01,1274.0999755859375,1288.5999755859375,1271.0,1278.800048828125,1278.800048828125,823,-1
2017-12-04,1272.5,1276.0999755859375,1270.300048828125,1274.300048828125,1274.300048828125,850,0
2017-12-05,1275.4000244140625,1275.800048828125,1260.0,1261.5999755859375,1261.5999755859375,1499,-1
2017-12-06,1264.9000244140625,1267.800048828125,1261.5999755859375,1262.800048828125,1262.800048828125,373,-1
2017-12-07,1262.300048828125,1262.4000244140625,1243.9000244140625,1249.800048828125,1249.800048828125,358,0
2017-12-08,1246.300048828125,1249.300048828125,1241.5,1245.199951171875,1245.199951171875,157,0
2017-12-11,1248.4000244140625,1249.199951171875,1239.9000244140625,1243.699951171875,1243.699951171875,146,-1
2017-12-12,1241.300048828125,1244.4000244140625,1236.5,1238.5,1238.5,692,0
2017-12-13,1241.9000244140625,1254.5,1239.800048828125,1245.4000244140625,1245.4000244140625,349,-1
2017-12-14,1252.9000244140625,1257.699951171875,1250.300048828125,1253.800048828125,1253.800048828125,139,-1
2017-12-15,1253.0999755859375,1260.300048828125,1253.0999755859375,1254.300048828125,1254.300048828125,578,1
2017-12-18,1256.199951171875,1262.4000244140625,1255.699951171875,1262.199951171875,1262.199951171875,45,-1
2017-12-19,1261.0999755859375,1264.300048828125,1259.5,1260.699951171875,1260.699951171875,329,-1
